word_zh,translation_en,categories
武汉不明肺炎,SARS mutation,['COVID-19词库']
武汉海鲜市场,SARS mutation,['COVID-19词库']
沙士变异,SARS mutation,['COVID-19词库']
爆發sars疫情,SARS outbreak,['COVID-19词库']
武汉卫生委员会,Wuhan Health Commission,['COVID-19词库']
p4病毒实验室,p4 virus laboratory,['COVID-19词库']
病毒感染,viral infection,['COVID-19词库']
疫情事件,epidemic events,['COVID-19词库']
肺炎病人,pneumonia patient,['COVID-19词库']
武汉流行肺炎,Wuhan epidemic pneumonia,['COVID-19词库']
非典性肺炎,SARS,['COVID-19词库']
习近平到武汉,Xi Jinping goes to Wuhan,['COVID-19词库']
某人亲自,someone personally,['COVID-19词库']
雷神山,Leishenshan,['COVID-19词库']
总书记,general secretary,"['零时-Tencent', 'COVID-19词库', '网易前端过滤敏感词库']"
红十字会,Red Cross,['COVID-19词库']
疫情,epidemic,['COVID-19词库']
肺炎,pneumonia,"['零时-Tencent', 'COVID-19词库']"
習近平,Xi Jinping,"['零时-Tencent', 'COVID-19词库']"
中央,central,"['COVID-19词库', '网易前端过滤敏感词库']"
政府,government,"['零时-Tencent', 'COVID-19词库', '政治类型', 'GFW补充词库']"
負面,Negative,['COVID-19词库']
習主席,President Xi,['COVID-19词库']
凝聚力,cohesion,['COVID-19词库']
疫情蔓延,The epidemic spreads,['COVID-19词库']
武汉,Wuhan,"['COVID-19词库', '网易前端过滤敏感词库']"
李克强,Li Keqiang,"['零时-Tencent', 'COVID-19词库', '政治类型', '网易前端过滤敏感词库']"
总理,Prime Minister,"['零时-Tencent', 'COVID-19词库', '网易前端过滤敏感词库']"
北京,Beijing,['COVID-19词库']
武漢,Wuhan,['COVID-19词库']
李克強,Li Keqiang,['COVID-19词库']
扒一扒武汉病毒所,Take a look at the Wuhan Institute of Virology,['COVID-19词库']
所长的成功史,Director's history of success,['COVID-19词库']
地方官+疫情+中央+隱瞞,Local officials + epidemic + central government + concealment,['COVID-19词库']
舉行+批評中國+兩會期間+隱瞞,Held + Criticized China + During the Two Sessions + Concealed,['COVID-19词库']
武漢+中共+危機+北京,Communist Party + Pneumonia + Performance + Rule,['COVID-19词库']
共产党+肺炎+表现+统治,Communist Party + Pneumonia + Performance + Rule,['COVID-19词库']
疫情+红会+4+政府+湖北,Epidemic+Red Cross+4+Government+Hubei,['COVID-19词库']
中国共产党+最大的威胁+这个时代,The Communist Party of China + the biggest threat + this era,['COVID-19词库']
武漢+明明+病毒+人傳人,Wuhan+Mingming+virus+human-to-human transmission,['COVID-19词库']
美国疾控中心+冠状病毒,CDC + Coronavirus,['COVID-19词库']
菲律宾总统府感谢中国捐赠菲律宾,The Presidential Palace of the Philippines thanks China for donating money to the Philippines,['COVID-19词库']
